sequence,base_nll,adaptive_nll,compression_ratio
0,1.9904162883758545,1.9904662310698584,0.801116943359375
1,2.4047248363494873,2.405135564240352,0.801116943359375
2,2.635056734085083,2.6360527601367854,0.801116943359375
3,2.466649055480957,2.466902784562775,0.801116943359375
4,2.1893627643585205,2.189148754274548,0.801116943359375
5,1.7590203285217285,1.7590986809965803,0.801116943359375
6,1.5392333269119263,1.5386846604787494,0.801116943359375
7,2.0903074741363525,2.0897502442598923,0.801116943359375
8,2.264974355697632,2.265449438202247,0.801116943359375
9,2.388669490814209,2.389044943820225,0.801116943359375
