sequence,base_nll,adaptive_nll,compression_ratio
0,1.4748839139938354,1.475154189057157,0.605682373046875
1,1.8472963571548462,1.8470322423058134,0.605682373046875
2,2.0881733894348145,2.0895517830972152,0.605682373046875
3,1.8873454332351685,1.8879457743038592,0.605682373046875
4,1.5950031280517578,1.5939331949193942,0.605682373046875
5,1.6890270709991455,1.688217513434294,0.605682373046875
6,1.3974374532699585,1.3966475329750856,0.605682373046875
7,1.259232521057129,1.2581827063996092,0.605682373046875
8,1.676935076713562,1.6773479482169027,0.605682373046875
9,1.7834422588348389,1.7846238397655105,0.605682373046875
10,1.9397276639938354,1.939789936492428,0.605682373046875
11,1.9175055027008057,1.9180508060576453,0.605682373046875
12,1.6738324165344238,1.6736535173424523,0.605682373046875
13,1.8596656322479248,1.8601306790425012,0.605682373046875
14,1.930350422859192,1.930538593063019,0.605682373046875
15,2.0392472743988037,2.0392953102100635,0.605682373046875
16,1.9765069484710693,1.9788715192965316,0.605682373046875
17,2.0498533248901367,2.0494626282364434,0.605682373046875
18,2.2053990364074707,2.206063751831949,0.605682373046875
19,1.9384407997131348,1.9387823644357596,0.605682373046875
