sample,base_f1,adaptive_f1,compression_ratio
0,0.2,0.2,0.5942087865923764
1,0.26315789473684215,0.26315789473684215,0.5942466213241768
2,0.0,0.0,0.5945332184060469
3,0.28571428571428564,0.28571428571428564,0.5937900163377048
4,0.0,0.0,0.594100024253649
5,0.0,0.0,0.5944079382944916
6,0.2222222222222222,0.2222222222222222,0.5943797229219143
7,0.0,0.0,0.5939312677116543
8,0.0,0.0,0.5939741035856574
9,0.0,0.0,0.5945392877643838
10,0.2222222222222222,0.2222222222222222,0.594353765073497
11,0.0,0.0909090909090909,0.5938793483047116
12,0.0,0.0,0.5940442249038589
13,0.0,0.0,0.5938506108317897
14,0.6666666666666666,0.6666666666666666,0.5940029524946921
15,0.42857142857142855,0.42857142857142855,0.5942042751420642
16,0.0,0.0909090909090909,0.5939528414359517
17,0.28571428571428575,0.28571428571428575,0.594353765073497
18,0.28571428571428575,0.28571428571428575,0.5942216044479746
19,0.0,0.0,0.5943259413948555
20,0.17391304347826086,0.17391304347826086,0.5941632504628405
21,0.6666666666666666,0.6666666666666666,0.5942689700101585
22,0.0,0.0,0.5943718492968957
23,0.0,0.0,0.5939307155785106
24,0.7272727272727272,0.7272727272727272,0.5945741121123774
25,0.6666666666666666,0.6666666666666666,0.5941564905760552
26,0.19999999999999998,0.19999999999999998,0.5945661851998417
27,0.18181818181818182,0.18181818181818182,0.5946312933739999
28,0.0,0.0,0.5941534040671972
29,0.0,0.0,0.594414131393298
