sequence,base_nll,adaptive_nll,compression_ratio
0,1.4750263690948486,1.476390754763068,0.605682373046875
1,1.8474842309951782,1.8511846604787494,0.605682373046875
2,2.0879311561584473,2.090559355153884,0.605682373046875
3,1.8871259689331055,1.8877320468978993,0.605682373046875
4,1.5950571298599243,1.5933225451880801,0.605682373046875
5,1.6891865730285645,1.688629702002931,0.605682373046875
6,1.397557258605957,1.4032043844650708,0.605682373046875
7,1.2592453956604004,1.2614420493404983,0.605682373046875
8,1.677538275718689,1.6799432095749878,0.605682373046875
9,1.7832707166671753,1.7846238397655105,0.605682373046875
