sequence,base_nll,adaptive_nll,compression_ratio
0,1.4750263690948486,1.4785280288226674,0.605682373046875
1,1.8474842309951782,1.8504213483146068,0.605682373046875
2,2.0879311561584473,2.0866359306301905,0.605682373046875
3,1.8871259689331055,1.8887701514411335,0.605682373046875
4,1.5950571298599243,1.5926660967269175,0.605682373046875
5,1.6891865730285645,1.6945224719101124,0.605682373046875
6,1.397557258605957,1.3991053981436248,0.605682373046875
7,1.2592453956604004,1.2557859062042012,0.605682373046875
8,1.677538275718689,1.67701209086468,0.605682373046875
9,1.7832707166671753,1.783341475329751,0.605682373046875
